system:index,areakm2_cab,areakm2_mun,areakm2_munNoCab,mpio_ccnct,.geo
0000000000000000007c_0000000000000000108b_00000000000000000059,1.7699871318359375,1167.3607460689698,1165.5909045544433,5895,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007e_00000000000000001090_0000000000000000005a,5.520023628295898,121.36144405053712,115.8455989666748,8078,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007f_00000000000000001095_0000000000000000005b,3.4053146682128905,99.9884120435791,96.57842071386719,8137,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000080_00000000000000001099_0000000000000000005c,1.3244740620117188,135.7796311427002,134.46042077734376,8141,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000081_00000000000000000ac4_0000000000000000005d,10.314787070800781,97.49772273718261,87.19351379467773,8296,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000082_0000000000000000109c_0000000000000000005e,2.3204937181396486,167.94976586218263,165.62737524731446,8372,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000083_00000000000000000ae6_0000000000000000005f,1.3408315249023437,224.28278229187012,222.9467047672119,8421,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000084_00000000000000000b0a_00000000000000000060,12.396650730834962,97.95709002746582,85.56704862573243,8433,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000085_000000000000000010ae_00000000000000000061,2.518046590576172,214.25639117687987,211.73739998815918,8436,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000086_000000000000000010af_00000000000000000062,2.859532328491211,92.32660859387207,89.47283150720214,8520,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000088_000000000000000010b7_00000000000000000063,1.510186738647461,73.87647328881836,72.39326939343262,8558,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000089_000000000000000010b1_00000000000000000064,1.7592860290527343,206.53848549621583,204.77704439416505,8560,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000008a_00000000000000000ae7_00000000000000000065,14.264008358032227,70.57685314831544,56.340892872314456,8573,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000008b_000000000000000010bc_00000000000000000066,2.146099166015625,358.52941082739255,356.3842881862793,8606,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000008c_000000000000000010c4_00000000000000000067,2.98346007043457,43.11740941796875,40.135381043823244,8634,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000008d_00000000000000000b0b_00000000000000000068,8.157901255004882,395.87031577734376,387.712377388916,8638,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000008e_000000000000000010cd_00000000000000000069,1.3756006668701173,57.38367652478027,56.00733015710449,8675,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000008f_000000000000000010d1_0000000000000000006a,3.366557116088867,64.99842030065918,61.63408690051269,8685,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000091_000000000000000010cf_0000000000000000006b,1.8357879631347656,42.564886090576174,40.728963671875,8770,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000092_000000000000000010d3_0000000000000000006c,1.0065297810058593,182.99534751135255,181.9896155834961,8832,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000093_000000000000000010df_0000000000000000006d,1.3767963857421874,101.36872089245605,99.9940680477295,8849,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000096_000000000000000010ff_0000000000000000006e,0.6055671303710938,951.754323647583,951.1260623670654,13006,"{""type"":""MultiPoint"",""coordinates"":[]}"
